arr_sz,avg_insertion_sort_counter,avg_selection_sort_counter,avg_merge_sort_counter,avg_quick_sort_counter
1000,248171.900000,499500.000000,1999.000000,1801.000000
2000,990924.300000,1999000.000000,3999.000000,3801.000000
3000,2222306.300000,4498500.000000,5999.000000,5801.000000
4000,3968389.700000,7998000.000000,7999.000000,7801.000000
5000,6191776.300000,12497500.000000,9999.000000,9801.000000
6000,8889687.400000,17997000.000000,11999.000000,11801.000000
7000,12152654.200000,24496500.000000,13999.000000,13801.000000
